pre_root_id,post_root_id,activity
720575940619696133,720575940637756760,0.29138803
720575940619696133,720575940639993819,0.13907695
720575940619696133,720575940620467115,0.3777119
720575940619696133,720575940614916725,0.30170798
720575940619696133,720575940628524150,0.77415
720575940619696133,720575940608664184,0.64172685
720575940619696133,720575940632852124,0.025526047
720575940619696133,720575940623207885,0.96040606
720575940619696133,720575940630575943,0.38493145
720575940619696133,720575940634407566,0.96027005
720575940619696133,720575940604891360,0.33231258
720575940619696133,720575940627513210,0.7709764
720575940619696133,720575940633366498,0.69778645
720575940619696133,720575940625526805,0.30064344
720575940619696133,720575940621089741,0.69355583
720575940619696133,720575940635642725,0.51053
720575940619696133,720575940644750116,0.0030659437
720575940619696133,720575940605158572,0.73641276
720575940619696133,720575940623064909,0.91220963
720575940619696133,720575940627080872,0.50607073
720575940637562469,720575940627709956,0.40946615
720575940637562469,720575940633320628,0.5163406
720575940637562469,720575940629593401,0.9356766
720575940637562469,720575940621082623,0.77394915
720575940637562469,720575940629593401,0.024960518
720575940637562469,720575940637013349,0.4143927
720575940637562469,720575940639264590,0.16345572
720575940637562469,720575940619625792,0.0051635504
720575940637562469,720575940639264590,0.09045482
720575940637562469,720575940621089741,0.85083723
720575940637562469,720575940636592270,0.2924559
720575940637562469,720575940632706970,0.9607372
720575940637562469,720575940635210859,0.36267996
720575940637562469,720575940615853851,1.3868297
720575940637562469,720575940612087758,0.12430751
720575940637562469,720575940630456028,0.8232422
720575940637562469,720575940638642547,0.01620102
720575940637562469,720575940620181825,0.79569566
720575940637562469,720575940643793431,0.22493398
720575940637562469,720575940645126020,0.28094566
720575940637562469,720575940630808827,0.94864905
720575940637562469,720575940632000104,0.46683466
720575940637562469,720575940627947772,0.5319333
720575940637562469,720575940632000104,0.47439766
720575940637562469,720575940615853851,1.3178195
720575940637562469,720575940638642547,0.027965307
720575940637562469,720575940604211628,0.7243415
720575940637562469,720575940627947772,0.06610942
720575940637562469,720575940624377323,0.3085723
720575940637562469,720575940609030776,0.949227
720575940637562469,720575940633075885,0.42373633
720575940637562469,720575940618098459,0.86759746
720575940637562469,720575940626022218,0.19694328
720575940637562469,720575940630456028,0.40954208
720575940637562469,720575940614635175,0.9559401
720575940637562469,720575940615853851,1.4397138
720575940637562469,720575940614635175,0.037739873
720575940637562469,720575940627513210,0.07300615
720575940637562469,720575940627514627,0.35792017
720575940637562469,720575940635210859,0.9408492
720575940637562469,720575940610956334,0.404356
720575940637562469,720575940621442124,0.4166547
720575940637562469,720575940608501316,0.9121909
720575940637562469,720575940640177280,0.63102245
720575940637562469,720575940631742381,0.13311791
720575940637562469,720575940628478449,0.8453065
720575940637562469,720575940614190709,1.7615587
720575940637562469,720575940619914581,0.6903112
720575940637562469,720575940642335373,0.05557978
720575940637562469,720575940640177280,0.06548667
720575940637562469,720575940611878258,0.49343586
720575940637562469,720575940630918930,0.21094632
720575940637562469,720575940614190709,1.980702
720575940637562469,720575940604211628,0.8741486
